       3.340000       0.597909       1.014484       1.581869
       3.350000       0.612458       1.035395       1.582487
       3.360000       0.626528       1.053075       1.583086
       3.370000       0.640029       1.067081       1.583633
       3.380000       0.652877       1.077068       1.584100
       3.390000       0.665038       1.082801       1.584483
       3.400000       0.676551       1.084190       1.584823
       3.410000       0.687549       1.081322       1.585202
       3.420000       0.698279       1.074430       1.585723
       3.430000       0.709100       1.063851       1.586468
       3.440000       0.720425       1.050095       1.587456
       3.450000       0.732602       1.033999       1.588638
       3.460000       0.745798       1.016894       1.589908
       3.470000       0.759983       1.000617       1.591144
       3.480000       0.775004       0.987241       1.592255
       3.490000       0.790688       0.978550       1.593202
       3.500000       0.806897       0.975537       1.593995
       3.510000       0.823529       0.978256       1.594665
       3.520000       0.840489       0.986028       1.595240
       3.530000       0.857672       0.997769       1.595743
       3.540000       0.874971       1.012254       1.596225
       3.550000       0.892292       1.028313       1.596782
       3.560000       0.909584       1.044956       1.597536
       3.570000       0.926846       1.061426       1.598585
       3.580000       0.944120       1.077203       1.599956
       3.590000       0.961462       1.091997       1.601585
       3.600000       0.978906       1.105708       1.603348
       3.610000       0.996439       1.118317       1.605116
       3.620000       1.014002       1.129769       1.606787
       3.630000       1.031509       1.139953       1.608296
       3.640000       1.048882       1.148786       1.609603
       3.650000       1.066090       1.156261       1.610682
       3.660000       1.083183       1.162391       1.611527
       3.670000       1.100299       1.167103       1.612169
       3.680000       1.117660       1.170245       1.612669
       3.690000       1.135514       1.171748       1.613117
       3.700000       1.154043       1.171811       1.613589
       3.710000       1.173270       1.171011       1.614133
       3.720000       1.193008       1.170289       1.614755
       3.730000       1.212889       1.170818       1.615439
       3.740000       1.232432       1.173715       1.616164
       3.750000       1.251122       1.179700       1.616913
       3.760000       1.268493       1.188912       1.617653
       3.770000       1.284211       1.201000       1.618318
       3.780000       1.298134       1.215404       1.618825
       3.790000       1.310265       1.231598       1.619114
       3.800000       1.320600       1.249148       1.619204
       3.810000       1.328971       1.267623       1.619207
       3.820000       1.335016       1.286497       1.619265
       3.830000       1.338348       1.305143       1.619474
       3.840000       1.338809       1.322911       1.619837
       3.850000       1.336614       1.339220       1.620275
       3.860000       1.332279       1.353606       1.620690
       3.870000       1.326434       1.365747       1.621017
       3.880000       1.319695       1.375515       1.621254
       3.890000       1.312667       1.383052       1.621452
       3.900000       1.305976       1.388773       1.621680
       3.910000       1.300152       1.393225       1.621988
       3.920000       1.295469       1.396855       1.622384
       3.930000       1.291887       1.399833       1.622857
       3.940000       1.289122       1.402065       1.623393
       3.950000       1.286692       1.403357       1.623978
       3.960000       1.284060       1.403644       1.624588
       3.970000       1.280896       1.403158       1.625195
       3.980000       1.277307       1.402413       1.625778
       3.990000       1.273791       1.402029       1.626327
       4.000000       1.270964       1.402523       1.626827
       4.010000       1.269278       1.404230       1.627244
       4.020000       1.268931       1.407380       1.627521
       4.030000       1.269963       1.412177       1.627596
       4.040000       1.272354       1.418795       1.627449
       4.050000       1.275973       1.427287       1.627142
       4.060000       1.280422       1.437500       1.626825
       4.070000       1.285007       1.449050       1.626685
       4.080000       1.288931       1.461365       1.626861
       4.090000       1.291600       1.473791       1.627379
       4.100000       1.292839       1.485673       1.628147
       4.110000       1.292961       1.496409       1.628994
       4.120000       1.292645       1.505518       1.629724
       4.130000       1.292663       1.512783       1.630164
       4.140000       1.293576       1.518373       1.630204
       4.150000       1.295589       1.522813       1.629820
       4.160000       1.298582       1.526794       1.629073
       4.170000       1.302267       1.530877       1.628082
       4.180000       1.306376       1.535252       1.626980
       4.190000       1.310828       1.539676       1.625890
       4.200000       1.315783       1.543644       1.624900
       4.210000       1.321499       1.546698       1.624057
       4.220000       1.328060       1.548718       1.623343
       4.230000       1.335190       1.550050       1.622671
       4.240000       1.342321       1.551412       1.621918
       4.250000       1.348847       1.553608       1.620976
       4.260000       1.354387       1.557230       1.619797
       4.270000       1.358926       1.562550       1.618420
       4.280000       1.362802       1.569595       1.616953
       4.290000       1.366619       1.578268       1.615542
       4.300000       1.371087       1.588405       1.614326
       4.310000       1.376858       1.599816       1.613390
       4.320000       1.384398       1.612395       1.612749
       4.330000       1.393880       1.626175       1.612366
       4.340000       1.405067       1.641239       1.612186
       4.350000       1.417275       1.657533       1.612153
       4.360000       1.429554       1.674709       1.612224
       4.370000       1.441039       1.692077       1.612358
       4.380000       1.451290       1.708689       1.612515
       4.390000       1.460408       1.723580       1.612655
       4.400000       1.468908       1.736080       1.612751
       4.410000       1.477448       1.746077       1.612790
       4.420000       1.486592       1.754071       1.612771
       4.430000       1.496703       1.760973       1.612681
       4.440000       1.507917       1.767710       1.612479
       4.450000       1.520130       1.774811       1.612090
       4.460000       1.533039       1.782211       1.611429
       4.470000       1.546266       1.789336       1.610437
       4.480000       1.559508       1.795395       1.609081
       4.490000       1.572558       1.799652       1.607355
       4.500000       1.585162       1.801544       1.605291
       4.510000       1.596886       1.800675       1.602978
       4.520000       1.607178       1.796800       1.600559
       4.530000       1.615612       1.789891       1.598200
       4.540000       1.622108       1.780249       1.596052
       4.550000       1.626953       1.768568       1.594221
       4.560000       1.630572       1.755829       1.592756
       4.570000       1.633175       1.743031       1.591657
       4.580000       1.634536       1.730874       1.590893
       4.590000       1.634057       1.719543       1.590420
       4.600000       1.631035       1.708703       1.590184
       4.610000       1.624938       1.697714       1.590128
       4.620000       1.615548       1.686015       1.590202
       4.630000       1.602950       1.673430       1.590374
       4.640000       1.587462       1.660138       1.590622
       4.650000       1.569605       1.646379       1.590915
       4.660000       1.550154       1.632194       1.591211
       4.670000       1.530164       1.617463       1.591465
       4.680000       1.510815       1.602181       1.591649
       4.690000       1.493135       1.586675       1.591767
       4.700000       1.477799       1.571494       1.591845
       4.710000       1.465076       1.557027       1.591909
       4.720000       1.454812       1.543200       1.591969
       4.730000       1.446393       1.529530       1.592017
       4.740000       1.438754       1.515497       1.592055
       4.750000       1.430524       1.501001       1.592105
       4.760000       1.420377       1.486571       1.592214
       4.770000       1.407500       1.473168       1.592429
       4.780000       1.392035       1.461700       1.592775
       4.790000       1.375183       1.452570       1.593246
       4.800000       1.358738       1.445526       1.593814
       4.810000       1.344214       1.439816       1.594447
       4.820000       1.332157       1.434511       1.595123
       4.830000       1.322131       1.428818       1.595838
       4.840000       1.313234       1.422339       1.596591
       4.850000       1.304694       1.415205       1.597374
       4.860000       1.296256       1.407961       1.598158
       4.870000       1.288242       1.401265       1.598902
       4.880000       1.281295       1.395602       1.599572
       4.890000       1.275869       1.391127       1.600161
       4.900000       1.271842       1.387577       1.600696
       4.910000       1.268550       1.384300       1.601238
       4.920000       1.265190       1.380445       1.601874
       4.930000       1.261256       1.375283       1.602702
       4.940000       1.256721       1.368496       1.603794
       4.950000       1.251855       1.360335       1.605165
       4.960000       1.246876       1.351601       1.606758
       4.970000       1.241744       1.343332       1.608457
       4.980000       1.236192       1.336251       1.610124
       4.990000       1.229906       1.330309       1.611645
       5.000000       1.222741       1.324697       1.612963
       5.010000       1.214933       1.318355       1.614095
       5.020000       1.207231       1.310659       1.615118
       5.030000       1.200809       1.301813       1.616135
       5.040000       1.196884       1.292718       1.617235
       5.050000       1.196099       1.284424       1.618456
       5.060000       1.198023       1.277546       1.619779
       5.070000       1.201198       1.272024       1.621142
       5.080000       1.203846       1.267298       1.622472
       5.090000       1.204769       1.262770       1.623726
       5.100000       1.203789       1.258249       1.624902
       5.110000       1.201511       1.254113       1.626031
       5.120000       1.198776       1.251102       1.627151
       5.130000       1.196316       1.249932       1.628286
       5.140000       1.194693       1.250944       1.629458
       5.150000       1.194284       1.253898       1.630691
       5.160000       1.195156       1.257887       1.632008
       5.170000       1.196948       1.261435       1.633423
       5.180000       1.198957       1.262860       1.634929
       5.190000       1.200470       1.260792       1.636506
       5.200000       1.201112       1.254567       1.638126
       5.210000       1.200915       1.244353       1.639759
       5.220000       1.200066       1.231014       1.641380
       5.230000       1.198632       1.215864       1.642968
       5.240000       1.196540       1.200337       1.644507
       5.250000       1.193743       1.185575       1.645990
       5.260000       1.190349       1.172066       1.647419
       5.270000       1.186664       1.159556       1.648805
       5.280000       1.183223       1.147351       1.650162
       5.290000       1.180741       1.134730       1.651505
       5.300000       1.179818       1.121155       1.652851
       5.310000       1.180564       1.106234       1.654218
       5.320000       1.182453       1.089639       1.655623
       5.330000       1.184480       1.071094       1.657077
       5.340000       1.185494       1.050449       1.658587
       5.350000       1.184504       1.027806       1.660158
       5.360000       1.180896       1.003649       1.661798
       5.370000       1.174595       0.978943       1.663514
       5.380000       1.166119       0.955125       1.665297
       5.390000       1.156406       0.933932       1.667117
       5.400000       1.146421       0.916978       1.668926
       5.410000       1.136705       0.905310       1.670682
       5.420000       1.127081       0.899174       1.672359
       5.430000       1.116741       0.898070       1.673955
