       2.270000      -4.607355       0.584251       1.984348
       2.280000      -4.597108       0.642169       1.985479
       2.290000      -4.574390       0.703984       1.986636
       2.300000      -4.540197       0.769264       1.987757
       2.310000      -4.496137       0.837272       1.988798
       2.320000      -4.444075       0.907067       1.989744
       2.330000      -4.385854       0.977605       1.990606
       2.340000      -4.323115       1.047847       1.991415
       2.350000      -4.257222       1.116892       1.992196
       2.360000      -4.189252       1.184095       1.992954
       2.370000      -4.120035       1.249165       1.993657
       2.380000      -4.050209       1.312195       1.994244
       2.390000      -3.980267       1.373603       1.994632
       2.400000      -3.910596       1.433950       1.994739
       2.410000      -3.841506       1.493674       1.994505
       2.420000      -3.773243       1.552838       1.993912
       2.430000      -3.706002       1.611023       1.992989
       2.440000      -3.639925       1.667422       1.991812
       2.450000      -3.575109       1.721138       1.990488
       2.460000      -3.511596       1.771572       1.989137
       2.470000      -3.449376       1.818763       1.987880
       2.480000      -3.388393       1.863532       1.986837
       2.490000      -3.328558       1.907322       1.986124
       2.500000      -3.269772       1.951780       1.985842
       2.510000      -3.211949       1.998202       1.986068
       2.520000      -3.155030       2.047069       1.986842
       2.530000      -3.098994       2.097783       1.988162
       2.540000      -3.043858       2.148616       1.989985
       2.550000      -2.989668       2.196812       1.992239
       2.560000      -2.936493       2.238743       1.994828
       2.570000      -2.884419       2.270116       1.997650
       2.580000      -2.833537       2.286225       2.000603
       2.590000      -2.783939       2.282303       2.003588
       2.600000      -2.735697       2.253976       2.006512
       2.610000      -2.688850       2.197775       2.009283
       2.620000      -2.643386       2.111633       2.011812
       2.630000      -2.599234       1.995262       2.014011
       2.640000      -2.556271       1.850349       2.015801
       2.650000      -2.514346       1.680585       2.017120
       2.660000      -2.473309       1.491552       2.017929
       2.670000      -2.433051       1.290462       2.018215
       2.680000      -2.393514       1.085719       2.017990
       2.690000      -2.354684       0.886243       2.017293
       2.700000      -2.316555       0.700569       2.016196
       2.710000      -2.279095       0.535905       2.014803
       2.720000      -2.242209       0.397377       2.013254
       2.730000      -2.205733       0.287721       2.011710
       2.740000      -2.169455       0.207440       2.010329
       2.750000      -2.133157       0.155303       2.009238
       2.760000      -2.096660       0.128929       2.008517
       2.770000      -2.059855       0.125294       2.008188
       2.780000      -2.022718       0.141091       2.008218
       2.790000      -1.985299       0.172966       2.008535
       2.800000      -1.947703       0.217681       2.009041
       2.810000      -1.910069       0.272241       2.009631
       2.820000      -1.872557       0.333971       2.010210
       2.830000      -1.835333       0.400561       2.010699
       2.840000      -1.798563       0.470062       2.011046
       2.850000      -1.762408       0.540864       2.011221
       2.860000      -1.727012       0.611651       2.011217
       2.870000      -1.692494       0.681363       2.011048
       2.880000      -1.658923       0.749160       2.010740
       2.890000      -1.626303       0.814390       2.010333
       2.900000      -1.594563       0.876567       2.009877
       2.910000      -1.563555       0.935340       2.009429
       2.920000      -1.533083       0.990470       2.009056
       2.930000      -1.502949       1.041818       2.008829
       2.940000      -1.473000       1.089358       2.008811
       2.950000      -1.443166       1.133220       2.009055
       2.960000      -1.413473       1.173742       2.009589
       2.970000      -1.384034       1.211491       2.010411
       2.980000      -1.355030       1.247218       2.011487
