  # energy grid [eV]     epsr_x  epsr_y  epsr_z
       2.660000      -0.317404       1.445258       1.885814
       2.670000      -0.278117       1.461917       1.887151
       2.680000      -0.240154       1.473684       1.888586
       2.690000      -0.203550       1.481264       1.890167
       2.700000      -0.168302       1.485832       1.891945
       2.710000      -0.134388       1.488788       1.893963
       2.720000      -0.101790       1.491426       1.896252
       2.730000      -0.070512       1.494645       1.898824
       2.740000      -0.040562       1.498828       1.901666
       2.750000      -0.011910       1.503931       1.904739
       2.760000       0.015561       1.509731       1.907973
       2.770000       0.042104       1.516108       1.911274
       2.780000       0.068106       1.523266       1.914533
       2.790000       0.094042       1.531790       1.917631
       2.800000       0.120378       1.542536       1.920448
       2.810000       0.147483       1.556410       1.922875
       2.820000       0.175563       1.574142       1.924821
       2.830000       0.204639       1.596127       1.926234
       2.840000       0.234572       1.622386       1.927112
       2.850000       0.265104       1.652599       1.927515
       2.860000       0.295891       1.686172       1.927556
       2.870000       0.326547       1.722306       1.927386
       2.880000       0.356662       1.760037       1.927156
       2.890000       0.385826       1.798274       1.926985
       2.900000       0.413661       1.835822       1.926930
       2.910000       0.439851       1.871399       1.926979
       2.920000       0.464185       1.903643       1.927057
       2.930000       0.486580       1.931108       1.927041
       2.940000       0.507081       1.952228       1.926794
       2.950000       0.525804       1.965250       1.926189
       2.960000       0.542851       1.968153       1.925138
       2.970000       0.558212       1.958616       1.923604
       2.980000       0.571709       1.934107       1.921599
       2.990000       0.583006       1.892182       1.919172
       3.000000       0.591680       1.831002       1.916385
       3.010000       0.597333       1.749996       1.913305
       3.020000       0.599692       1.650496       1.910011
       3.030000       0.598670       1.536087       1.906607
       3.040000       0.594364       1.412468       1.903237
       3.050000       0.586975       1.286746       1.900083
       3.060000       0.576720       1.166307       1.897339
       3.070000       0.563774       1.057622       1.895182
       3.080000       0.548274       0.965330       1.893735
       3.090000       0.530391       0.891855       1.893054
       3.100000       0.510417       0.837522       1.893124
       3.110000       0.488831       0.801031       1.893869
       3.120000       0.466332       0.780050       1.895168
       3.130000       0.443839       0.771781       1.896879
       3.140000       0.422456       0.773403       1.898860
       3.150000       0.403390       0.782358       1.900997
       3.160000       0.387803       0.796500       1.903216
       3.170000       0.376637       0.814128       1.905489
       3.180000       0.370457       0.833964       1.907828
       3.190000       0.369386       0.855111       1.910264
       3.200000       0.373133       0.876988       1.912833
       3.210000       0.381122       0.899265       1.915548
       3.220000       0.392636       0.921774       1.918400
       3.230000       0.406965       0.944434       1.921352
       3.240000       0.423494       0.967216       1.924350
       3.250000       0.441740       0.990153       1.927327
       3.260000       0.461339       1.013374       1.930211
       3.270000       0.482014       1.037120       1.932928
       3.280000       0.503532       1.061711       1.935398
       3.290000       0.525684       1.087463       1.937541
       3.300000       0.548279       1.114584       1.939287
       3.310000       0.571148       1.143102       1.940586
       3.320000       0.594152       1.172837       1.941432
       3.330000       0.617177       1.203425       1.941870
       3.340000       0.640128       1.234371       1.942005
       3.350000       0.662925       1.265101       1.941976
       3.360000       0.685496       1.295013       1.941929
       3.370000       0.707775       1.323522       1.941985
       3.380000       0.729708       1.350089       1.942220
       3.390000       0.751242       1.374257       1.942663
       3.400000       0.772325       1.395682       1.943310
       3.410000       0.792898       1.414158       1.944140
       3.420000       0.812895       1.429645       1.945126
       3.430000       0.832253       1.442291       1.946230
       3.440000       0.850929       1.452448       1.947404
       3.450000       0.868918       1.460670       1.948579
       3.460000       0.886265       1.467680       1.949669
       3.470000       0.903060       1.474295       1.950584
       3.480000       0.919425       1.481308       1.951248
       3.490000       0.935481       1.489369       1.951616
       3.500000       0.951322       1.498887       1.951687
       3.510000       0.966993       1.509994       1.951493
       3.520000       0.982485       1.522562       1.951088
       3.530000       0.997758       1.536275       1.950520
       3.540000       1.012770       1.550746       1.949818
       3.550000       1.027516       1.565620       1.948987
       3.560000       1.042057       1.580658       1.948028
       3.570000       1.056520       1.595748       1.946960
       3.580000       1.071075       1.610867       1.945842
       3.590000       1.085896       1.626013       1.944783
       3.600000       1.101122       1.641153       1.943924
       3.610000       1.116832       1.656216       1.943413
       3.620000       1.133044       1.671125       1.943368
       3.630000       1.149724       1.685848       1.943857
       3.640000       1.166808       1.700431       1.944877
       3.650000       1.184210       1.714983       1.946361
       3.660000       1.201837       1.729622       1.948189
       3.670000       1.219589       1.744389       1.950206
       3.680000       1.237358       1.759186       1.952248
       3.690000       1.255036       1.773777       1.954158
       3.700000       1.272521       1.787852       1.955814
       3.710000       1.289733       1.801142       1.957139
       3.720000       1.306634       1.813519       1.958116
       3.730000       1.323240       1.825043       1.958796
       3.740000       1.339628       1.835925       1.959296
       3.750000       1.355921       1.846415       1.959780
       3.760000       1.372263       1.856683       1.960430
       3.770000       1.388777       1.866723       1.961408
       3.780000       1.405533       1.876319       1.962828
       3.790000       1.422535       1.885054       1.964745
       3.800000       1.439721       1.892365       1.967150
       3.810000       1.456978       1.897619       1.969988
       3.820000       1.474165       1.900226       1.973171
       3.830000       1.491136       1.899759       1.976596
       3.840000       1.507753       1.896025       1.980163
       3.850000       1.523899       1.889071       1.983787
       3.860000       1.539476       1.879077       1.987406
       3.870000       1.554407       1.866207       1.990982
       3.880000       1.568631       1.850460       1.994492
       3.890000       1.582103       1.831612       1.997920
       3.900000       1.594792       1.809269       2.001252
       3.910000       1.606672       1.782989       2.004464
       3.920000       1.617708       1.752443       2.007521
       3.930000       1.627844       1.717554       2.010381
       3.940000       1.637006       1.678614       2.012995
       3.950000       1.645132       1.636368       2.015318
       3.960000       1.652209       1.592040       2.017313
       3.970000       1.658314       1.547301       2.018965
       3.980000       1.663633       1.504140       2.020284
       3.990000       1.668457       1.464622       2.021309
       4.000000       1.673152       1.430576       2.022101
       4.010000       1.678133       1.403293       2.022735
       4.020000       1.683826       1.383331       2.023281
       4.030000       1.690626       1.370507       2.023791
       4.040000       1.698859       1.364070       2.024286
       4.050000       1.708741       1.362969       2.024762
       4.060000       1.720367       1.366132       2.025194
       4.070000       1.733727       1.372673       2.025551
       4.080000       1.748744       1.381981       2.025802
       4.090000       1.765304       1.393693       2.025918
       4.100000       1.783273       1.407582       2.025874
       4.110000       1.802493       1.423427       2.025640
       4.120000       1.822763       1.440921       2.025189
       4.130000       1.843835       1.459647       2.024499
       4.140000       1.865418       1.479127       2.023569
       4.150000       1.887190       1.498902       2.022427
       4.160000       1.908820       1.518617       2.021138
       4.170000       1.929983       1.538064       2.019803
       4.180000       1.950375       1.557183       2.018554
       4.190000       1.969728       1.576010       2.017535
       4.200000       1.987829       1.594610       2.016880
       4.210000       2.004553       1.613001       2.016681
       4.220000       2.019901       1.631107       2.016968
       4.230000       2.034017       1.648739       2.017705
       4.240000       2.047167       1.665608       2.018806
       4.250000       2.059657       1.681370       2.020169
       4.260000       2.071698       1.695691       2.021700
       4.270000       2.083274       1.708314       2.023333
       4.280000       2.094053       1.719121       2.025028
       4.290000       2.103389       1.728185       2.026760
       4.300000       2.110402       1.735807       2.028506
       4.310000       2.114126       1.742513       2.030245
       4.320000       2.113698       1.749005       2.031961
       4.330000       2.108560       1.756052       2.033653
       4.340000       2.098634       1.764346       2.035327
       4.350000       2.084408       1.774386       2.036984
       4.360000       2.066912       1.786408       2.038599
       4.370000       2.047545       1.800406       2.040104
       4.380000       2.027808       1.816207       2.041383
       4.390000       2.008997       1.833568       2.042281
       4.400000       1.991921       1.852256       2.042634
       4.410000       1.976715       1.872081       2.042293
       4.420000       1.962796       1.892895       2.041170
       4.430000       1.948981       1.914556       2.039257
       4.440000       1.933746       1.936904       2.036640
       4.450000       1.915602       1.959757       2.033485
