  # energy grid [eV]     epsr_x  epsr_y  epsr_z
       3.290000       3.333647      -0.726245       2.990051
       3.300000       3.361411      -0.710555       2.989321
       3.310000       3.389543      -0.694997       2.986307
       3.320000       3.418061      -0.679569       2.980525
       3.330000       3.446986      -0.664270       2.971670
       3.340000       3.476340      -0.649098       2.959697
       3.350000       3.506144      -0.634051       2.944835
       3.360000       3.536423      -0.619127       2.927542
       3.370000       3.567201      -0.604325       2.908416
       3.380000       3.598505      -0.589644       2.888086
       3.390000       3.630362      -0.575081       2.867129
       3.400000       3.662801      -0.560636       2.846045
       3.410000       3.695852      -0.546306       2.825270
       3.420000       3.729546      -0.532090       2.805220
       3.430000       3.763918      -0.517987       2.786331
       3.440000       3.799001      -0.503995       2.769045
       3.450000       3.834831      -0.490112       2.753770
       3.460000       3.871442      -0.476338       2.740805
       3.470000       3.908873      -0.462670       2.730298
       3.480000       3.947158      -0.449107       2.722248
       3.490000       3.986332      -0.435648       2.716553
       3.500000       4.026429      -0.422291       2.713076
       3.510000       4.067477      -0.409034       2.711688
       3.520000       4.109498      -0.395878       2.712279
       3.530000       4.152507      -0.382819       2.714736
       3.540000       4.196503      -0.369857       2.718917
       3.550000       4.241467      -0.356990       2.724620
       3.560000       4.287355      -0.344218       2.731585
       3.570000       4.334086      -0.331538       2.739505
       3.580000       4.381530      -0.318950       2.748080
       3.590000       4.429493      -0.306453       2.757063
       3.600000       4.477694      -0.294045       2.766309
       3.610000       4.525739      -0.281726       2.775782
       3.620000       4.573093      -0.269495       2.785523
       3.630000       4.619048      -0.257351       2.795599
       3.640000       4.662689      -0.245295       2.806036
       3.650000       4.702881      -0.233327       2.816783
       3.660000       4.738278      -0.221448       2.827705
       3.670000       4.767382      -0.209659       2.838595
       3.680000       4.788671      -0.197962       2.849199
       3.690000       4.800820      -0.186361       2.859224
       3.700000       4.802986      -0.174858       2.868341
       3.710000       4.795097      -0.163459       2.876189
       3.720000       4.778041      -0.152166       2.882385
       3.730000       4.753640      -0.140985       2.886565
       3.740000       4.724374      -0.129918       2.888438
       3.750000       4.692941      -0.118964       2.887847
       3.760000       4.661799      -0.108123       2.884809
       3.770000       4.632863      -0.097390       2.879534
       3.780000       4.607419      -0.086756       2.872402
       3.790000       4.586228      -0.076211       2.863898
       3.800000       4.569713      -0.065740       2.854532
       3.810000       4.558069      -0.055328       2.844763
       3.820000       4.551233      -0.044960       2.834956
       3.830000       4.548734      -0.034623       2.825379
       3.840000       4.549505      -0.024312       2.816233
       3.850000       4.551814      -0.014026       2.807703
       3.860000       4.553360      -0.003769       2.800002
       3.870000       4.551584       0.006452       2.793406
       3.880000       4.544150       0.016627       2.788250
       3.890000       4.529479       0.026745       2.784884
       3.900000       4.507161       0.036798       2.783607
       3.910000       4.478035       0.046775       2.784589
       3.920000       4.443829       0.056666       2.787822
       3.930000       4.406431       0.066462       2.793136
       3.940000       4.367097       0.076149       2.800244
       3.950000       4.325962       0.085714       2.808830
       3.960000       4.282066       0.095144       2.818617
       3.970000       4.233863       0.104426       2.829411
       3.980000       4.179957       0.113552       2.841101
       3.990000       4.119795       0.122521       2.853628
       4.000000       4.054066       0.131340       2.866940
       4.010000       3.984753       0.140024       2.880946
       4.020000       3.914845       0.148591       2.895488
       4.030000       3.847790       0.157062       2.910335
       4.040000       3.786797       0.165454       2.925190
       4.050000       3.734157       0.173777       2.939725
       4.060000       3.690759       0.182031       2.953590
       4.070000       3.655977       0.190213       2.966437
       4.080000       3.627952       0.198318       2.977911
       4.090000       3.604151       0.206351       2.987655
       4.100000       3.582013       0.214330       2.995321
       4.110000       3.559499       0.222280       3.000605
       4.120000       3.535468       0.230234       3.003291
       4.130000       3.509872       0.238223       3.003302
       4.140000       3.483765       0.246267       3.000732
       4.150000       3.459109       0.254377       2.995841
       4.160000       3.438367       0.262550       2.989023
       4.170000       3.423928       0.270778       2.980746
       4.180000       3.417586       0.279047       2.971482
       4.190000       3.420239       0.287343       2.961640
       4.200000       3.431875       0.295653       2.951533
       4.210000       3.451750       0.303967       2.941380
       4.220000       3.478592       0.312278       2.931335
       4.230000       3.510700       0.320579       2.921554
       4.240000       3.545956       0.328866       2.912253
       4.250000       3.581824       0.337131       2.903769
       4.260000       3.615424       0.345367       2.896579
       4.270000       3.643726       0.353564       2.891273
       4.280000       3.663864       0.361712       2.888475
       4.290000       3.673513       0.369798       2.888723
       4.300000       3.671318       0.377815       2.892359
       4.310000       3.657275       0.385754       2.899454
       4.320000       3.632959       0.393613       2.909813
       4.330000       3.601437       0.401394       2.923017
       4.340000       3.566772       0.409107       2.938512
       4.350000       3.533217       0.416765       2.955692
       4.360000       3.504342       0.424384       2.973964
       4.370000       3.482455       0.431978       2.992795
       4.380000       3.468494       0.439560       3.011735
       4.390000       3.462392       0.447137       3.030405
       4.400000       3.463683       0.454713       3.048477
       4.410000       3.472062       0.462290       3.065631
       4.420000       3.487652       0.469870       3.081516
       4.430000       3.510900       0.477452       3.095729
       4.440000       3.542199       0.485036       3.107829
       4.450000       3.581460       0.492620       3.117382
       4.460000       3.627845       0.500200       3.124031
       4.470000       3.679715       0.507768       3.127556
       4.480000       3.734793       0.515317       3.127911
       4.490000       3.790424       0.522834       3.125216
       4.500000       3.843883       0.530306       3.119711
       4.510000       3.892713       0.537722       3.111697
       4.520000       3.935049       0.545066       3.101483
       4.530000       3.969905       0.552328       3.089379
       4.540000       3.997323       0.559496       3.075727
       4.550000       4.018308       0.566565       3.060961
       4.560000       4.034485       0.573534       3.045668
       4.570000       4.047590       0.580404       3.030605
       4.580000       4.058946       0.587181       3.016668
       4.590000       4.069112       0.593867       3.004786
       4.600000       4.077807       0.600464       2.995794
       4.610000       4.084061       0.606968       2.990300
       4.620000       4.086498       0.613378       2.988612
       4.630000       4.083637       0.619690       2.990720
       4.640000       4.074172       0.625907       2.996340
       4.650000       4.057207       0.632039       3.004981
       4.660000       4.032442       0.638107       3.016021
       4.670000       4.000211       0.644143       3.028747
       4.680000       3.961367       0.650182       3.042380
       4.690000       3.917059       0.656261       3.056092
       4.700000       3.868556       0.662401       3.069027
       4.710000       3.817230       0.668611       3.080348
       4.720000       3.764643       0.674880       3.089293
       4.730000       3.712565       0.681180       3.095250
       4.740000       3.662794       0.687476       3.097817
       4.750000       3.616788       0.693725       3.096830
       4.760000       3.575303       0.699884       3.092369
       4.770000       3.538246       0.705915       3.084723
       4.780000       3.504851       0.711788       3.074359
       4.790000       3.474112       0.717486       3.061883
       4.800000       3.445324       0.723019       3.048015
       4.810000       3.418551       0.728421       3.033560
       4.820000       3.394847       0.733752       3.019354
       4.830000       3.376102       0.739089       3.006168
       4.840000       3.364535       0.744509       2.994591
       4.850000       3.361985       0.750073       2.984901
       4.860000       3.369284       0.755815       2.976988
       4.870000       3.385967       0.761734       2.970335
       4.880000       3.410404       0.767802       2.964075
       4.890000       3.440246       0.773965       2.957087
       4.900000       3.473019       0.780158       2.948119
       4.910000       3.506651       0.786303       2.935926
       4.920000       3.539798       0.792318       2.919424
       4.930000       3.571910       0.798128       2.897854
       4.940000       3.603079       0.803662       2.870932
       4.950000       3.633806       0.808872       2.838942
       4.960000       3.664817       0.813738       2.802754
       4.970000       3.696961       0.818280       2.763738
       4.980000       3.731118       0.822552       2.723570
       4.990000       3.768012       0.826636       2.683984
       5.000000       3.807933       0.830616       2.646505
       5.010000       3.850442       0.834565       2.612279
       5.020000       3.894236       0.838522       2.582029
       5.030000       3.937225       0.842500       2.556152
       5.040000       3.976830       0.846499       2.534883
       5.050000       4.010426       0.850522       2.518436
       5.060000       4.035841       0.854596       2.507042
       5.070000       4.051833       0.858776       2.500891
       5.080000       4.058462       0.863131       2.500031
       5.090000       4.057274       0.867729       2.504285
       5.100000       4.051181       0.872623       2.513229
       5.110000       4.043994       0.877831       2.526239
       5.120000       4.039655       0.883347       2.542565
       5.130000       4.041381       0.889137       2.561420
       5.140000       4.051002       0.895153       2.582049
       5.150000       4.068684       0.901345       2.603785
       5.160000       4.093090       0.907661       2.626069
       5.170000       4.121877       0.914057       2.648454
       5.180000       4.152351       0.920499       2.670595
       5.190000       4.182094       0.926967       2.692236
       5.200000       4.209439       0.933446       2.713215
       5.210000       4.233679       0.939930       2.733471
       5.220000       4.254995       0.946412       2.753065
       5.230000       4.274143       0.952879       2.772184
       5.240000       4.292051       0.959310       2.791114
       5.250000       4.309511       0.965673       2.810197
       5.260000       4.327102       0.971931       2.829769
       5.270000       4.345311       0.978040       2.850097
       5.280000       4.364726       0.983960       2.871338
       5.290000       4.386125       0.989658       2.893532
       5.300000       4.410369       0.995109       2.916615
       5.310000       4.438148       1.000293       2.940449
       5.320000       4.469682       1.005191       2.964858
       5.330000       4.504499       1.009773       2.989652
       5.340000       4.541392       1.013991       3.014650
       5.350000       4.578580       1.017776       3.039693
       5.360000       4.614013       1.021056       3.064659
       5.370000       4.645726       1.023767       3.089475
       5.380000       4.672114       1.025886       3.114131
       5.390000       4.692088       1.027450       3.138683
       5.400000       4.705128       1.028569       3.163247
       5.410000       4.711334       1.029420       3.187980
       5.420000       4.711528       1.030226       3.213040
       5.430000       4.707386       1.031228       3.238560
       5.440000       4.701491       1.032645       3.264620
       5.450000       4.697131       1.034646       3.291246
       5.460000       4.697802       1.037330       3.318410
       5.470000       4.706504       1.040724       3.346053
       5.480000       4.725118       1.044789       3.374097
       5.490000       4.754105       1.049441       3.402463
       5.500000       4.792614       1.054569       3.431092
       5.510000       4.838882       1.060050       3.459959
       5.520000       4.890717       1.065763       3.489086
       5.530000       4.945880       1.071593       3.518552
       5.540000       5.002331       1.077432       3.548484
       5.550000       5.058383       1.083184       3.579032
       5.560000       5.112872       1.088770       3.610345
       5.570000       5.165425       1.094131       3.642532
       5.580000       5.216742       1.099240       3.675645
       5.590000       5.268751       1.104115       3.709679
       5.600000       5.324389       1.108813       3.744574
       5.610000       5.386977       1.113433       3.780238
       5.620000       5.459333       1.118087       3.816569
       5.630000       5.542947       1.122884       3.853462
       5.640000       5.637484       1.127901       3.890829
       5.650000       5.740741       1.133177       3.928585
       5.660000       5.848944       1.138709       3.966627
       5.670000       5.957253       1.144464       4.004795
       5.680000       6.060293       1.150392       4.042822
       5.690000       6.152630       1.156433       4.080288
       5.700000       6.229142       1.162528       4.116599
       5.710000       6.285251       1.168620       4.150980
       5.720000       6.317049       1.174651       4.182498
       5.730000       6.321386       1.180559       4.210115
       5.740000       6.295990       1.186281       4.232765
       5.750000       6.239655       1.191754       4.249449
       5.760000       6.152390       1.196921       4.259350
       5.770000       6.035409       1.201749       4.261922
       5.780000       5.890850       1.206232       4.256958
       5.790000       5.721298       1.210401       4.244600
       5.800000       5.529320       1.214309       4.225305
       5.810000       5.317219       1.218023       4.199790
       5.820000       5.087090       1.221592       4.168973
       5.830000       4.841104       1.225039       4.133901
       5.840000       4.581825       1.228356       4.095675
       5.850000       4.312393       1.231518       4.055343
       5.860000       4.036482       1.234507       4.013808
       5.870000       3.758024       1.237333       3.971764
       5.880000       3.480830       1.240039       3.929699
       5.890000       3.208260       1.242698       3.887961
       5.900000       2.943134       1.245397       3.846854
       5.910000       2.687939       1.248223       3.806738
       5.920000       2.445226       1.251254       3.768102
       5.930000       2.217945       1.254564       3.731584
       5.940000       2.009478       1.258213       3.697922
       5.950000       1.823295       1.262251       3.667800
       5.960000       1.662363       1.266704       3.641613
       5.970000       1.528493       1.271564       3.619234
       5.980000       1.421811       1.276786       3.599909
       5.990000       1.340466       1.282295       3.582383
       6.000000       1.280632       1.287995       3.565239
       6.010000       1.236879       1.293783       3.547339
       6.020000       1.202911       1.299562       3.528200
       6.030000       1.172569       1.305251       3.508160
       6.040000       1.140842       1.310795       3.488295
       6.050000       1.104595       1.316165       3.470121
