       3.970000       3.881773       0.179318       2.878143
       3.980000       3.889785       0.189494       2.891296
       3.990000       3.899418       0.199611       2.903249
       4.000000       3.912517       0.209666       2.913577
       4.010000       3.930243       0.219657       2.921850
       4.020000       3.952809       0.229581       2.927700
       4.030000       3.979494       0.239438       2.930867
       4.040000       4.008904       0.249228       2.931241
       4.050000       4.039314       0.258954       2.928877
       4.060000       4.068968       0.268621       2.923976
       4.070000       4.096207       0.278237       2.916847
       4.080000       4.119470       0.287810       2.907870
       4.090000       4.137251       0.297347       2.897459
       4.100000       4.148174       0.306853       2.886050
       4.110000       4.151234       0.316330       2.874098
       4.120000       4.146132       0.325778       2.862081
       4.130000       4.133501       0.335195       2.850500
       4.140000       4.114836       0.344577       2.839871
       4.150000       4.092108       0.353920       2.830703
       4.160000       4.067239       0.363222       2.823467
       4.170000       4.041743       0.372479       2.818550
       4.180000       4.016741       0.381690       2.816212
       4.190000       3.993279       0.390857       2.816544
       4.200000       3.972684       0.399981       2.819470
       4.210000       3.956656       0.409067       2.824774
       4.220000       3.946984       0.418117       2.832162
       4.230000       3.945028       0.427132       2.841318
       4.240000       3.951236       0.436112       2.851960
       4.250000       3.964913       0.445048       2.863848
       4.260000       3.984275       0.453931       2.876785
       4.270000       4.006692       0.462748       2.890572
       4.280000       4.029046       0.471481       2.904984
       4.290000       4.048144       0.480111       2.919733
       4.300000       4.061181       0.488622       2.934468
       4.310000       4.066233       0.496997       2.948786
       4.320000       4.062642       0.505229       2.962257
       4.330000       4.051159       0.513317       2.974450
       4.340000       4.033737       0.521274       2.984953
       4.350000       4.013022       0.529125       2.993395
       4.360000       3.991733       0.536900       2.999466
       4.370000       3.972140       0.544633       3.002952
       4.380000       3.955759       0.552350       3.003765
       4.390000       3.943274       0.560065       3.001954
       4.400000       3.934576       0.567773       2.997701
       4.410000       3.928852       0.575453       2.991282
       4.420000       3.924667       0.583070       2.983038
       4.430000       3.920074       0.590587       2.973351
       4.440000       3.912788       0.597971       2.962651
       4.450000       3.900531       0.605202       2.951440
       4.460000       3.881541       0.612285       2.940324
       4.470000       3.855167       0.619251       2.930035
       4.480000       3.822328       0.626154       2.921400
       4.490000       3.785580       0.633066       2.915266
       4.500000       3.748660       0.640056       2.912379
       4.510000       3.715588       0.647180       2.913268
       4.520000       3.689664       0.654470       2.918152
       4.530000       3.672723       0.661933       2.926927
       4.540000       3.664913       0.669556       2.939210
       4.550000       3.664998       0.677310       2.954425
       4.560000       3.670998       0.685157       2.971892
       4.570000       3.680863       0.693053       2.990911
       4.580000       3.692938       0.700954       3.010816
       4.590000       3.706081       0.708811       3.030991
       4.600000       3.719469       0.716577       3.050867
       4.610000       3.732317       0.724202       3.069892
       4.620000       3.743737       0.731634       3.087494
       4.630000       3.752876       0.738825       3.103070
       4.640000       3.759305       0.745738       3.115994
       4.650000       3.763442       0.752351       3.125672
       4.660000       3.766783       0.758672       3.131626
       4.670000       3.771775       0.764741       3.133573
       4.680000       3.781323       0.770637       3.131498
       4.690000       3.798079       0.776464       3.125677
       4.700000       3.823789       0.782332       3.116667
       4.710000       3.858865       0.788342       3.105255
       4.720000       3.902301       0.794564       3.092399
       4.730000       3.951852       0.801031       3.079167
       4.740000       4.004373       0.807747       3.066661
       4.750000       4.056211       0.814693       3.055939
       4.760000       4.103599       0.821842       3.047904
       4.770000       4.143034       0.829162       3.043187
       4.780000       4.171692       0.836628       3.042049
       4.790000       4.187858       0.844217       3.044326
       4.800000       4.191339       0.851911       3.049438
       4.810000       4.183724       0.859693       3.056452
       4.820000       4.168340       0.867544       3.064183
       4.830000       4.149762       0.875445       3.071307
       4.840000       4.132930       0.883374       3.076467
       4.850000       4.122093       0.891304       3.078379
       4.860000       4.119923       0.899204       3.075927
       4.870000       4.127063       0.907034       3.068261
       4.880000       4.142170       0.914750       3.054901
       4.890000       4.162350       0.922297       3.035821
       4.900000       4.183818       0.929613       3.011495
       4.910000       4.202621       0.936629       2.982878
       4.920000       4.215337       0.943275       2.951304
       4.930000       4.219627       0.949484       2.918317
       4.940000       4.214604       0.955214       2.885448
       4.950000       4.200948       0.960456       2.853976
       4.960000       4.180815       0.965250       2.824719
       4.970000       4.157535       0.969691       2.797914
       4.980000       4.135101       0.973915       2.773214
       4.990000       4.117488       0.978077       2.749796
       5.000000       4.107886       0.982319       2.726557
       5.010000       4.108115       0.986743       2.702360
       5.020000       4.118417       0.991406       2.676281
       5.030000       4.137696       0.996330       2.647853
       5.040000       4.164043       1.001517       2.617237
       5.050000       4.195321       1.006969       2.585280
       5.060000       4.229563       1.012695       2.553413
       5.070000       4.265118       1.018713       2.523409
       5.080000       4.300602       1.025030       2.497073
       5.090000       4.334812       1.031640       2.475949
       5.100000       4.366739       1.038515       2.461124
       5.110000       4.395712       1.045603       2.453142
       5.120000       4.421601       1.052836       2.452012
       5.130000       4.444901       1.060136       2.457289
       5.140000       4.466587       1.067415       2.468207
       5.150000       4.487726       1.074590       2.483822
       5.160000       4.509029       1.081583       2.503154
       5.170000       4.530565       1.088332       2.525290
       5.180000       4.551793       1.094803       2.549458
       5.190000       4.571872       1.100997       2.575059
       5.200000       4.590038       1.106956       2.601664
       5.210000       4.605870       1.112757       2.628990
       5.220000       4.619363       1.118493       2.656850
       5.230000       4.630901       1.124250       2.685107
       5.240000       4.641274       1.130083       2.713641
       5.250000       4.651806       1.135999       2.742324
       5.260000       4.664484       1.141961       2.771027
       5.270000       4.681892       1.147895       2.799619
       5.280000       4.706828       1.153710       2.827988
       5.290000       4.741694       1.159319       2.856056
       5.300000       4.787950       1.164657       2.883792
       5.310000       4.845859       1.169701       2.911220
       5.320000       4.914602       1.174480       2.938415
       5.330000       4.992618       1.179070       2.965481
       5.340000       5.077966       1.183576       2.992528
       5.350000       5.168558       1.188102       3.019639
       5.360000       5.262250       1.192712       3.046857
       5.370000       5.356874       1.197419       3.074183
