  # energy grid [eV]     epsi_x  epsi_y  epsi_z
       2.450000       0.405137       2.698526       0.083176
       2.460000       0.399717       2.818709       0.085334
       2.470000       0.394406       2.948080       0.087193
       2.480000       0.389146       3.081859       0.088694
       2.490000       0.383941       3.214162       0.089797
       2.500000       0.378838       3.338376       0.090482
       2.510000       0.373897       3.447571       0.090747
       2.520000       0.369162       3.534919       0.090618
       2.530000       0.364640       3.594103       0.090149
       2.540000       0.360300       3.619801       0.089421
       2.550000       0.356083       3.608282       0.088543
       2.560000       0.351931       3.558059       0.087636
       2.570000       0.347813       3.470417       0.086818
       2.580000       0.343748       3.349510       0.086186
       2.590000       0.339808       3.201880       0.085811
       2.600000       0.336107       3.035471       0.085732
       2.610000       0.332775       2.858469       0.085966
       2.620000       0.329937       2.678339       0.086516
       2.630000       0.327701       2.501258       0.087385
       2.640000       0.326154       2.331912       0.088576
       2.650000       0.325360       2.173555       0.090092
       2.660000       0.325359       2.028190       0.091930
       2.670000       0.326162       1.896795       0.094067
       2.680000       0.327745       1.779567       0.096452
       2.690000       0.330038       1.676129       0.099007
       2.700000       0.332928       1.585729       0.101629
       2.710000       0.336268       1.507386       0.104201
       2.720000       0.339909       1.440010       0.106615
       2.730000       0.343735       1.382484       0.108779
       2.740000       0.347704       1.333708       0.110638
       2.750000       0.351868       1.292603       0.112169
       2.760000       0.356363       1.258078       0.113388
       2.770000       0.361372       1.228989       0.114334
       2.780000       0.367068       1.204109       0.115066
       2.790000       0.373572       1.182175       0.115641
       2.800000       0.380914       1.162002       0.116113
       2.810000       0.389031       1.142648       0.116520
       2.820000       0.397779       1.123564       0.116884
       2.830000       0.406967       1.104656       0.117217
       2.840000       0.416398       1.086232       0.117533
       2.850000       0.425902       1.068841       0.117850
       2.860000       0.435345       1.053079       0.118200
       2.870000       0.444610       1.039411       0.118622
       2.880000       0.453556       1.028052       0.119142
       2.890000       0.461978       1.018938       0.119770
       2.900000       0.469581       1.011774       0.120489
       2.910000       0.475980       1.006143       0.121259
       2.920000       0.480725       1.001621       0.122037
       2.930000       0.483331       0.997857       0.122793
       2.940000       0.483338       0.994580       0.123524
       2.950000       0.480374       0.991559       0.124265
       2.960000       0.474241       0.988564       0.125078
       2.970000       0.464985       0.985378       0.126045
       2.980000       0.452922       0.981884       0.127243
       2.990000       0.438613       0.978186       0.128734
       3.000000       0.422781       0.974689       0.130554
       3.010000       0.406203       0.972088       0.132705
       3.020000       0.389603       0.971276       0.135157
       3.030000       0.373580       0.973195       0.137844
       3.040000       0.358567       0.978707       0.140676
       3.050000       0.344824       0.988493       0.143545
       3.060000       0.332452       1.003006       0.146341
       3.070000       0.321419       1.022465       0.148956
       3.080000       0.311603       1.046865       0.151286
       3.090000       0.302827       1.076007       0.153228
       3.100000       0.294893       1.109543       0.154694
       3.110000       0.287616       1.147021       0.155612
       3.120000       0.280839       1.187937       0.155950
       3.130000       0.274440       1.231775       0.155722
       3.140000       0.268338       1.278045       0.154995
       3.150000       0.262492       1.326313       0.153879
       3.160000       0.256901       1.376237       0.152518
       3.170000       0.251598       1.427570       0.151060
       3.180000       0.246630       1.480134       0.149637
       3.190000       0.242048       1.533764       0.148336
       3.200000       0.237881       1.588230       0.147187
       3.210000       0.234129       1.643179       0.146157
       3.220000       0.230760       1.698088       0.145169
       3.230000       0.227718       1.752230       0.144132
       3.240000       0.224938       1.804667       0.142971
       3.250000       0.222360       1.854272       0.141656
       3.260000       0.219939       1.899785       0.140220
       3.270000       0.217651       1.939892       0.138749
       3.280000       0.215485       1.973311       0.137367
       3.290000       0.213445       1.998932       0.136206
       3.300000       0.211542       2.015992       0.135388
       3.310000       0.209793       2.024295       0.135004
       3.320000       0.208224       2.024365       0.135103
       3.330000       0.206857       2.017446       0.135688
       3.340000       0.205708       2.005293       0.136713
       3.350000       0.204772       1.989811       0.138084
       3.360000       0.204028       1.972682       0.139666
       3.370000       0.203437       1.955159       0.141306
       3.380000       0.202952       1.938084       0.142855
       3.390000       0.202531       1.922075       0.144198
       3.400000       0.202146       1.907724       0.145272
       3.410000       0.201791       1.895666       0.146082
       3.420000       0.201483       1.886464       0.146692
       3.430000       0.201260       1.880393       0.147204
       3.440000       0.201169       1.877237       0.147730
       3.450000       0.201258       1.876252       0.148375
       3.460000       0.201571       1.876366       0.149211
       3.470000       0.202142       1.876568       0.150277
       3.480000       0.203005       1.876334       0.151576
       3.490000       0.204191       1.875900       0.153085
       3.500000       0.205732       1.876229       0.154762
       3.510000       0.207655       1.878710       0.156554
       3.520000       0.209975       1.884709       0.158400
       3.530000       0.212690       1.895171       0.160230
       3.540000       0.215773       1.910384       0.161959
       3.550000       0.219171       1.929968       0.163497
       3.560000       0.222815       1.953083       0.164761
       3.570000       0.226627       1.978753       0.165694
       3.580000       0.230541       2.006170       0.166286
       3.590000       0.234516       2.034800       0.166578
       3.600000       0.238539       2.064241       0.166656
       3.610000       0.242634       2.093888       0.166633
       3.620000       0.246848       2.122605       0.166630
       3.630000       0.251254       2.148595       0.166750
       3.640000       0.255948       2.169588       0.167071
       3.650000       0.261046       2.183321       0.167630
       3.660000       0.266676       2.188109       0.168432
       3.670000       0.272962       2.183264       0.169454
       3.680000       0.280007       2.169137       0.170655
       3.690000       0.287876       2.146830       0.171977
       3.700000       0.296597       2.117774       0.173350
       3.710000       0.306167       2.083429       0.174688
       3.720000       0.316572       2.045213       0.175895
       3.730000       0.327803       2.004588       0.176875
       3.740000       0.339872       1.963135       0.177542
       3.750000       0.352809       1.922521       0.177839
       3.760000       0.366660       1.884379       0.177735
       3.770000       0.381458       1.850180       0.177225
       3.780000       0.397196       1.821151       0.176312
       3.790000       0.413776       1.798271       0.175004
       3.800000       0.430941       1.782278       0.173315
       3.810000       0.448219       1.773653       0.171274
       3.820000       0.464888       1.772557       0.168943
       3.830000       0.480008       1.778721       0.166429
       3.840000       0.492518       1.791321       0.163881
       3.850000       0.501426       1.808870       0.161485
       3.860000       0.506022       1.829209       0.159435
       3.870000       0.506066       1.849650       0.157917
       3.880000       0.501855       1.867331       0.157082
       3.890000       0.494161       1.879747       0.157036
       3.900000       0.484048       1.885333       0.157824
       3.910000       0.472662       1.883873       0.159435
       3.920000       0.461050       1.876560       0.161799
       3.930000       0.450054       1.865693       0.164793
       3.940000       0.440276       1.854133       0.168255
       3.950000       0.432087       1.844768       0.171993
       3.960000       0.425674       1.840137       0.175800
       3.970000       0.421080       1.842249       0.179472
       3.980000       0.418262       1.852548       0.182819
       3.990000       0.417129       1.871930       0.185690
       4.000000       0.417577       1.900762       0.187989
       4.010000       0.419513       1.938862       0.189691
       4.020000       0.422878       1.985447       0.190854
       4.030000       0.427653       2.039059       0.191616
       4.040000       0.433857       2.097536       0.192172
       4.050000       0.441523       2.158079       0.192756
       4.060000       0.450663       2.217482       0.193596
       4.070000       0.461232       2.272511       0.194890
       4.080000       0.473097       2.320338       0.196766
       4.090000       0.486039       2.358847       0.199267
       4.100000       0.499761       2.386703       0.202343
       4.110000       0.513930       2.403146       0.205864
       4.120000       0.528208       2.407680       0.209643
       4.130000       0.542291       2.399861       0.213473
       4.140000       0.555937       2.379342       0.217156
       4.150000       0.569002       2.346159       0.220530
       4.160000       0.581476       2.301119       0.223482
       4.170000       0.593521       2.246035       0.225949
       4.180000       0.605485       2.183681       0.227915
       4.190000       0.617883       2.117440       0.229403
       4.200000       0.631336       2.050806       0.230462
       4.210000       0.646476       1.986907       0.231157
       4.220000       0.663842       1.928190       0.231555
       4.230000       0.683777       1.876288       0.231710
       4.240000       0.706339       1.832009       0.231664
       4.250000       0.731221       1.795397       0.231449
       4.260000       0.757704       1.765832       0.231093
       4.270000       0.784657       1.742185       0.230629
       4.280000       0.810623       1.723035       0.230087
       4.290000       0.834024       1.706947       0.229493
       4.300000       0.853481       1.692729       0.228863
       4.310000       0.868155       1.679577       0.228207
       4.320000       0.878011       1.667021       0.227532
       4.330000       0.883844       1.654720       0.226854
       4.340000       0.887072       1.642229       0.226202
       4.350000       0.889362       1.628900       0.225623
       4.360000       0.892230       1.613988       0.225190
       4.370000       0.896715       1.596943       0.224998
       4.380000       0.903188       1.577704       0.225159
       4.390000       0.911279       1.556850       0.225788
       4.400000       0.919930       1.535522       0.226982
       4.410000       0.927575       1.515171       0.228797
       4.420000       0.932451       1.497271       0.231242
       4.430000       0.933010       1.483111       0.234273
       4.440000       0.928327       1.473702       0.237795
       4.450000       0.918363       1.469762       0.241672
       4.460000       0.903981       1.471730       0.245725
       4.470000       0.886714       1.479762       0.249739
       4.480000       0.868408       1.493707       0.253466
       4.490000       0.850872       1.513082       0.256657
       4.500000       0.835651       1.537077       0.259096
       4.510000       0.823923       1.564616       0.260649
       4.520000       0.816504       1.594484       0.261295
       4.530000       0.813916       1.625511       0.261134
       4.540000       0.816468       1.656782       0.260371
       4.550000       0.824331       1.687800       0.259271
       4.560000       0.837592       1.718514       0.258111
       4.570000       0.856281       1.749189       0.257143
       4.580000       0.880366       1.780155       0.256564
       4.590000       0.909729       1.811542       0.256507
       4.600000       0.944119       1.843129       0.257040
       4.610000       0.983106       1.874392       0.258160
       4.620000       1.026049       1.904734       0.259791
       4.630000       1.072091       1.933835       0.261794
       4.640000       1.120197       1.961949       0.263978
       4.650000       1.169228       1.989992       0.266136
       4.660000       1.218075       2.019347       0.268091
       4.670000       1.265838       2.051421       0.269729
       4.680000       1.312035       2.087122       0.271028
       4.690000       1.356767       2.126430       0.272052
       4.700000       1.400776       2.168201       0.272913
       4.710000       1.445339       2.210269       0.273725
       4.720000       1.492000       2.249839       0.274547
       4.730000       1.542201       2.284090       0.275348
       4.740000       1.596913       2.310823       0.276005
       4.750000       1.656354       2.328956       0.276331
       4.760000       1.719819       2.338741       0.276126
       4.770000       1.785641       2.341635       0.275228
       4.780000       1.851276       2.339912       0.273548
       4.790000       1.913508       2.336147       0.271085
       4.800000       1.968814       2.332729       0.267913
       4.810000       2.013854       2.331533       0.264160
       4.820000       2.046041       2.333795       0.259992
       4.830000       2.064031       2.340132       0.255605
       4.840000       2.067996       2.350623       0.251211
       4.850000       2.059538       2.364861       0.247030
       4.860000       2.041268       2.381979       0.243261
       4.870000       2.016197       2.400710       0.240065
       4.880000       1.987159       2.419544       0.237542
       4.890000       1.956419       2.437003       0.235733
       4.900000       1.925520       2.451933       0.234623
       4.910000       1.895285       2.463710       0.234145
       4.920000       1.865873       2.472272       0.234193
       4.930000       1.836866       2.477977       0.234630
       4.940000       1.807424       2.481377       0.235303
       4.950000       1.776548       2.483016       0.236053
       4.960000       1.743407       2.483297       0.236728
       4.970000       1.707601       2.482405       0.237190
       4.980000       1.669240       2.480267       0.237325
       4.990000       1.628819       2.476560       0.237052
       5.000000       1.587011       2.470775       0.236323
       5.010000       1.544489       2.462369       0.235136
       5.020000       1.501872       2.450913       0.233527
       5.030000       1.459772       2.436187       0.231563
       5.040000       1.418871       2.418183       0.229321
       5.050000       1.379981       2.397044       0.226879
       5.060000       1.344048       2.373016       0.224307
       5.070000       1.312096       2.346460       0.221666
       5.080000       1.285143       2.317891       0.219011
       5.090000       1.264107       2.288018       0.216398
       5.100000       1.249728       2.257702       0.213887
       5.110000       1.242507       2.227840       0.211544
       5.120000       1.242678       2.199190       0.209441
       5.130000       1.250199       2.172201       0.207645
       5.140000       1.264791       2.146907       0.206204
       5.150000       1.286007       2.122952       0.205138
       5.160000       1.313360       2.099775       0.204430
       5.170000       1.346450       2.076895       0.204029
       5.180000       1.385053       2.054214       0.203855
       5.190000       1.429102       2.032203       0.203821
       5.200000       1.478536       2.011899       0.203848
       5.210000       1.533065       1.994697       0.203880
       5.220000       1.591916       1.982007       0.203890
       5.230000       1.653660       1.974888       0.203877
       5.240000       1.716175       1.973751       0.203860
       5.250000       1.776754       1.978219       0.203867
       5.260000       1.832348       1.987145       0.203922
       5.270000       1.879897       1.998767       0.204030
       5.280000       1.916710       2.010941       0.204166
       5.290000       1.940837       2.021404       0.204266
       5.300000       1.951343       2.028020       0.204240
       5.310000       1.948423       2.029017       0.203989
       5.320000       1.933314       2.023192       0.203439
       5.330000       1.908033       2.010081       0.202565
       5.340000       1.875018       1.990028       0.201398
       5.350000       1.836792       1.964139       0.200024
       5.360000       1.795714       1.934115       0.198558
       5.370000       1.753845       1.901990       0.197132
       5.380000       1.712879       1.869810       0.195878
       5.390000       1.674082       1.839317       0.194920
       5.400000       1.638213       1.811688       0.194362
       5.410000       1.605433       1.787424       0.194274
       5.420000       1.575279       1.766413       0.194679
       5.430000       1.546756       1.748149       0.195541
       5.440000       1.518571       1.732055       0.196764
       5.450000       1.489470       1.717790       0.198202
       5.460000       1.458537       1.705442       0.199683
       5.470000       1.425382       1.695567       0.201028
       5.480000       1.390133       1.689059       0.202088
       5.490000       1.353331       1.686955       0.202763
       5.500000       1.315783       1.690249       0.203022
       5.510000       1.278464       1.699746       0.202899
       5.520000       1.242457       1.715974       0.202483
       5.530000       1.208885       1.739103       0.201892
       5.540000       1.178827       1.768869       0.201242
       5.550000       1.153202       1.804535       0.200628
       5.560000       1.132681       1.844900       0.200107
       5.570000       1.117641       1.888394       0.199695
       5.580000       1.108175       1.933227       0.199376
       5.590000       1.104157       1.977566       0.199119
       5.600000       1.105339       2.019715       0.198888
       5.610000       1.111446       2.058247       0.198666
       5.620000       1.122240       2.092089       0.198463
       5.630000       1.137543       2.120511       0.198318
       5.640000       1.157196       2.143040       0.198294
       5.650000       1.181005       2.159337       0.198458
       5.660000       1.208688       2.169139       0.198857
       5.670000       1.239873       2.172318       0.199491
       5.680000       1.274151       2.169074       0.200304
       5.690000       1.311155       2.160118       0.201184
       5.700000       1.350614       2.146707       0.201992
       5.710000       1.392322       2.130429       0.202587
       5.720000       1.436011       2.112819       0.202864
       5.730000       1.481160       2.094973       0.202767
       5.740000       1.526826       2.077348       0.202296
       5.750000       1.571589       2.059796       0.201498
       5.760000       1.613658       2.041813       0.200456
       5.770000       1.651147       2.022861       0.199280
       5.780000       1.682450       2.002666       0.198097
       5.790000       1.706558       1.981355       0.197037
       5.800000       1.723223       1.959420       0.196224
       5.810000       1.732885       1.937543       0.195757
       5.820000       1.736404       1.916369       0.195706
       5.830000       1.734692       1.896329       0.196097
       5.840000       1.728416       1.877574       0.196909
       5.850000       1.717845       1.859999       0.198077
       5.860000       1.702912       1.843329       0.199492
       5.870000       1.683418       1.827237       0.201020
       5.880000       1.659267       1.811453       0.202521
       5.890000       1.630636       1.795824       0.203869
       5.900000       1.597989       1.780301       0.204980
       5.910000       1.562011       1.764854       0.205825
       5.920000       1.523506       1.749397       0.206440
       5.930000       1.483371       1.733801       0.206917
       5.940000       1.442632       1.718009       0.207390
       5.950000       1.402499       1.702195       0.208004
       5.960000       1.364358       1.686868       0.208883
       5.970000       1.329672       1.672852       0.210112
       5.980000       1.299825       1.661176       0.211714
       5.990000       1.275953       1.652906       0.213651
       6.000000       1.258824       1.648994       0.215837
       6.010000       1.248779       1.650137       0.218151
       6.020000       1.245711       1.656651       0.220463
       6.030000       1.249085       1.668388       0.222659
       6.040000       1.257987       1.684726       0.224663
       6.050000       1.271227       1.704695       0.226452
       6.060000       1.287500       1.727217       0.228060
       6.070000       1.305573       1.751397       0.229565
       6.080000       1.324447       1.776736       0.231072
       6.090000       1.343423       1.803148       0.232690
       6.100000       1.362054       1.830777       0.234513
       6.110000       1.380028       1.859697       0.236606
       6.120000       1.397060       1.889656       0.238994
       6.130000       1.412835       1.919990       0.241659
       6.140000       1.426998       1.949727       0.244541
       6.150000       1.439171       1.977821       0.247557
       6.160000       1.448968       2.003400       0.250619
       6.170000       1.455996       2.025918       0.253651
       6.180000       1.459878       2.045178       0.256605
       6.190000       1.460293       2.061252       0.259457
       6.200000       1.457044       2.074347       0.262197
       6.210000       1.450123       2.084681       0.264821
       6.220000       1.439751       2.092406       0.267312
       6.230000       1.426358       2.097615       0.269620
       6.240000       1.410523       2.100399       0.271660
       6.250000       1.392884       2.100909       0.273306
       6.260000       1.374024       2.099331       0.274413
       6.270000       1.354378       2.095795       0.274846
       6.280000       1.334177       2.090230       0.274515
       6.290000       1.313463       2.082264       0.273414
       6.300000       1.292182       2.071228       0.271635
       6.310000       1.270323       2.056283       0.269374
       6.320000       1.248061       2.036667       0.266897
       6.330000       1.225853       2.011974       0.264504
       6.340000       1.204436       1.982406       0.262477
       6.350000       1.184747       1.948880       0.261041
       6.360000       1.167767       1.912997       0.260337
       6.370000       1.154383       1.876872       0.260418
       6.380000       1.145270       1.842881       0.261260
       6.390000       1.140849       1.813394       0.262777
       6.400000       1.141291       1.790517       0.264857
       6.410000       1.146571       1.775900       0.267372
       6.420000       1.156530       1.770603       0.270202
       6.430000       1.170940       1.775033       0.273234
       6.440000       1.189527       1.788929       0.276367
       6.450000       1.211974       1.811369       0.279520
       6.460000       1.237891       1.840813       0.282631
       6.470000       1.266783       1.875167       0.285667
       6.480000       1.298023       1.911922       0.288621
       6.490000       1.330847       1.948356       0.291511
       6.500000       1.364361       1.981818       0.294374
       6.510000       1.397567       2.010033       0.297261
       6.520000       1.429429       2.031388       0.300231
       6.530000       1.458978       2.045141       0.303344
       6.540000       1.485474       2.051522       0.306657
       6.550000       1.508559       2.051674       0.310216
       6.560000       1.528329       2.047438       0.314044
       6.570000       1.545287       2.040972       0.318136
       6.580000       1.560182       2.034326       0.322441
       6.590000       1.573816       2.029070       0.326854
       6.600000       1.586890       2.026095       0.331203
       6.610000       1.599958       2.025639       0.335259
